institution_id,display_name,country_name,world_region,total
I4210142372,Human Media,United States,Americas,0.0
I4210142254,Laboratoire Bordelais de Recherche en Informatique,France,Europe,0.0
I4210142140,Walt Disney (United States),United States,Americas,0.0
I4210141702,University of Gävle,Sweden,Europe,0.0
I4210141421,Ministère de l'Économie et des Finances,France,Europe,0.0
I4210141311,Staats- und Universitätsbibliothek Bremen,Germany,Europe,0.0
I4210141255,Care Resource,United States,Americas,0.0
I4210141176,Communication University of Zhejiang,China,Asia,0.0
I4210141030,SickKids Foundation,Canada,Americas,0.0
I4210140408,Minneapolis VA Medical Center,United States,Americas,0.0
I4210139483,GREYC,France,Europe,0.0
I4210143601,Decision Systems (United States),United States,Americas,0.0
I4210143841,Saudi Aramco (Saudi Arabia),Saudi Arabia,Asia,0.0
I4210144062,Consorzio Roma Ricerche,Italy,Europe,0.0
I4210146756,Brandenburg University of Applied Sciences,Germany,Europe,0.0
I4210150358,Institut Systèmes Intelligents et de Robotique,France,Europe,0.0
I4210150252,Park-Klinik Birkenwerder,Germany,Europe,0.0
I4210150121,Univé (Netherlands),Netherlands,Europe,0.0
I4210150103,Geophysical Laboratory,United States,Americas,0.0
I4210150049,CEA LETI,France,Europe,0.0
I4210147894,Institut de Recherche et d’Innovation,France,Europe,0.0
I4210146710,Mayo Clinic in Florida,United States,Americas,0.0
I4210144576,Fraunhofer Institute for Intelligent Analysis and Information Systems,Germany,Europe,0.0
I4210145865,IBM Research - Tokyo,Japan,Asia,0.0
I4210145761,Shenzhen Institutes of Advanced Technology,China,Asia,0.0
I4210145671,Advanced Imaging Research (United States),United States,Americas,0.0
I4210145387,Al Sulaiteen Agricultural & Industrial Complex (Qatar),Qatar,Asia,0.0
I4210144839,Hamad bin Khalifa University,Qatar,Asia,0.0
I4210144804,Laboratoire de Recherche en Informatique,France,Europe,0.0
I4210139350,Fraunhofer Institute for Factory Operation and Automation,Germany,Europe,0.0
I4210138551,University Hospital Magdeburg,Germany,Europe,0.0
I4210138427,Computational Physics (United States),United States,Americas,0.0
I4210133934,Bernstein Center for Computational Neuroscience Tübingen,Germany,Europe,0.0
I4210135298,Jensen Hughes (United States),United States,Americas,0.0
I4210135252,University of Minnesota Medical Center,United States,Americas,0.0
I4210135180,Filmuniversität Babelsberg KONRAD WOLF,Germany,Europe,0.0
I4210134512,GE Global Research (United States),United States,Americas,0.0
I4210134504,Universidad Católica San Pablo,Peru,Americas,0.0
I4210134051,ITS (United Kingdom),United Kingdom,Europe,0.0
I4210133369,Decision Sciences (United States),United States,Americas,0.0
I4210135439,RMIT Europe,Spain,Europe,0.0
I4210133362,Institut National de Physique Nucléaire et de Physique des Particules,France,Europe,0.0
I4210133271,Imagination Technologies (United Kingdom),United Kingdom,Europe,0.0
I4210133173,Research!America (United States),United States,Americas,0.0
I4210133125,Mitsubishi Electric (Japan),Japan,Asia,0.0
I4210132870,Xerox (United States),United States,Americas,0.0
I4210131986,Centro Universitario de Tecnología y Arte Digital,Spain,Europe,0.0
I4210135397,Zentrum für Foren in der Grafischen Datenverarbeitung,Germany,Europe,0.0
I4210135640,Laboratoire de Biométrie et Biologie Evolutive,France,Europe,0.0
I4210138378,Dominion (United States),United States,Americas,0.0
I4210137298,Avaya (United States),United States,Americas,0.0
I4210138311,Lawrence Livermore National Security,United States,Americas,0.0
I4210138199,University of Washington Applied Physics Laboratory,United States,Americas,0.0
I4210138167,PowerWorld (United States),United States,Americas,0.0
I4210137873,Fraunhofer Institute for Digital Medicine,Germany,Europe,0.0
I4210137693,Siemens (United States),United States,Americas,0.0
I4210137306,Stanford Medicine,United States,Americas,0.0
I4210137046,Inte:Ligand (Austria),Austria,Europe,0.0
I4210135670,Amsterdam University of the Arts,Netherlands,Europe,0.0
I4210137033,Istituto di Matematica Applicata e Tecnologie Informatiche,Italy,Europe,0.0
I4210136987,St. Anne's University Hospital Brno,Czechia,,0.0
I4210136697,Sint Maartenskliniek,Netherlands,Europe,0.0
I4210136471,FC Barcelona,Spain,Europe,0.0
I4210136249,University of Applied Sciences Upper Austria,Austria,Europe,0.0
I4210135837,National Center for Supercomputing Applications,United States,Americas,0.0
I4210113652,Sectra (Sweden),Sweden,Europe,0.0
I4210113495,Children's Hospital of Zhejiang University,China,Asia,0.0
I4210113369,Microsoft Research Asia (China),China,Asia,0.0
I4210113003,Physical Sciences (United States),United States,Americas,0.0
I4210086933,NYU Langone Health,United States,Americas,0.0
I4210085935,IBM Research - Almaden,United States,Americas,0.0
I41833579,Roanoke College,United States,Americas,0.0
I4179309,Park University,United States,Americas,0.0
I4092182,Graz University of Technology,Austria,Europe,0.0
I40347166,University of Chicago,United States,Americas,0.0
I40120149,University of Oxford,United Kingdom,Europe,0.0
I39854758,Auckland University of Technology,New Zealand,Oceania,0.0
I39804081,Sorbonne Université,France,Europe,0.0
I39705031,Catholic University of Daegu,"Korea, Republic of",,0.0
I39586589,Swansea University,United Kingdom,Europe,0.0
I39555362,University of Warwick,United Kingdom,Europe,0.0
I39470171,University of Ontario Institute of Technology,Canada,Americas,0.0
I39422238,University of Illinois Chicago,United States,Americas,0.0
I39343248,Humboldt-Universität zu Berlin,Germany,Europe,0.0
I4210087032,Cambridge Scientific (United States),United States,Americas,0.0
I4210087747,Creative Technologies (United States),United States,Americas,0.0
I4210087915,Massachusetts General Hospital,United States,Americas,0.0
I4210089980,Research Organization for Information Science and Technology,Japan,Asia,0.0
I4210091327,Max Planck Institute for Mathematics in the Sciences,Germany,Europe,0.0
I4210091159,Indiana State Department of Health,United States,Americas,0.0
I4210091137,NetEase (China),China,Asia,0.0
I4210090857,Schlumberger (United States),United States,Americas,0.0
I4210090737,Advanced Mechanical Technology (United States),United States,Americas,0.0
I4210090485,Crystal Research (United States),United States,Americas,0.0
I4210089612,United States Air Force,United States,Americas,0.0
I4210088322,Centre de Gestion Scientifique,France,Europe,0.0
I4210089608,Natural History Museum of Bern,Switzerland,Europe,0.0
I4210088792,United States Army,United States,Americas,0.0
I4210088715,FH Campus Wien,Austria,Europe,0.0
I4210088621,Know Center Research GmbH (Austria),Austria,Europe,0.0
I4210088595,Technology Applications (United States),United States,Americas,0.0
I4210088341,University of Finance and Economics,Mongolia,Asia,0.0
I392282,"University at Albany, State University of New York",United States,Americas,0.0
I38877650,Zhengzhou University,China,Asia,0.0
I368840534,University of Mississippi,United States,Americas,0.0
I3132238960,Institute of Electrical and Electronics Engineers,United States,Americas,0.0
I32394136,Northumbria University,United Kingdom,Europe,0.0
I32389192,University of Alabama at Birmingham,United States,Americas,0.0
I31746571,UNSW Sydney,Australia,Oceania,0.0
I31683504,Beijing Forestry University,China,Asia,0.0
I31512782,Technical University of Darmstadt,Germany,Europe,0.0
I3143791293,Institute for Christian Studies,Canada,Americas,0.0
I3131873961,Hadassah Academic College,Israel,Asia,0.0
I32625721,University of Saskatchewan,Canada,Americas,0.0
I3131550300,Université Toulouse-I-Capitole,France,Europe,0.0
I3131446353,Andrássy University Budapest,Hungary,Europe,0.0
I3130638677,Edinburgh College,United Kingdom,Europe,0.0
I3129593085,Chengdu Sport University,China,Asia,0.0
I3129407955,Institute for High Energy Physics,Russian Federation,Europe,0.0
I308837,Suzhou University of Science and Technology,China,Asia,0.0
I32597200,Ghent University,Belgium,Europe,0.0
I32943570,Helsinki Institute for Information Technology,Finland,Europe,0.0
I36819085,Northwest University,United States,Americas,0.0
I35440088,ETH Zurich,Switzerland,Europe,0.0
I36788626,California University of Pennsylvania,United States,Americas,0.0
I36672615,Courant Institute of Mathematical Sciences,United States,Americas,0.0
I36522303,Universität Greifswald,Germany,Europe,0.0
I36258959,"University of California, San Diego",United States,Americas,0.0
I36253440,IEEE Computer Society,United States,Americas,0.0
I36234482,University of Bristol,United Kingdom,Europe,0.0
I35364215,Naval Postgraduate School,United States,Americas,0.0
I32971472,Yale University,United States,Americas,0.0
I34809795,Medizinische Hochschule Hannover,Germany,Europe,0.0
I34077533,Ohio Supercomputer Center,United States,Americas,0.0
I33976269,Xerox (France),France,Europe,0.0
I33434090,University of Massachusetts Boston,United States,Americas,0.0
I33256026,German Research Centre for Artificial Intelligence,Germany,Europe,0.0
I33213144,University of Florida,United States,Americas,0.0
I4210091341,Novartis (China),China,Asia,0.0
I4210091437,Sorbonne Paris Cité,France,Europe,0.0
I4210091615,Saint Vincent's Catholic Medical Center,United States,Americas,0.0
I4210104684,VetAgro Sup,France,Europe,0.0
I4210106297,MacroGenics (United States),United States,Americas,0.0
I4210106122,Southern Marine Science and Engineering Guangdong Laboratory (Guangzhou),China,Asia,0.0
I4210105990,Institute of Geodesy and Geophysics,China,Asia,0.0
I4210105663,Deutsches Herzzentrum der Charité,Germany,Europe,0.0
I4210104972,Norrköping Visualisering (Sweden),Sweden,Europe,0.0
I4210104735,Sandia National Laboratories,United States,Americas,0.0
I4210104475,Momentive (Japan),Japan,Asia,0.0
I4210107053,Core Competence,United States,Americas,0.0
I4210104311,Institute of Scientific and Technical Information of China,China,Asia,0.0
I4210103986,Jingdong (China),China,Asia,0.0
I4210103820,Autodesk (Canada),Canada,Americas,0.0
I4210102957,Département Mathématiques et Informatique Appliquées,France,Europe,0.0
I4210102939,IAP Research (United States),United States,Americas,0.0
I4210102902,Sheffield Teaching Hospitals NHS Foundation Trust,United Kingdom,Europe,0.0
I4210106889,Science Communication Institute,United States,Americas,0.0
I4210107558,Consorzio Pisa Ricerche,Italy,Europe,0.0
I4210102302,University Hospital Brno,Czechia,,0.0
I4210110987,IIT@MIT,United States,Americas,0.0
I4210112998,Vetenskap I Skolan,Sweden,Europe,0.0
I4210112925,Max Planck Institute for Biological Cybernetics,Germany,Europe,0.0
I4210112527,Luxembourg Institute of Science and Technology,Luxembourg,Europe,0.0
I4210112067,IBM (France),France,Europe,0.0
I4210111842,Computer Research Institute of Montréal,Canada,Americas,0.0
I4210111179,Michigan United,United States,Americas,0.0
I4210110975,"Reference Center for Research, Development and Innovation in ATM",Spain,Europe,0.0
I4210108629,Computer Network Information Center,China,Asia,0.0
I4210110792,Centre de Recherche en Automatique de Nancy,France,Europe,0.0
I4210109712,Max Planck Institute for Informatics,Germany,Europe,0.0
I4210109586,Moscow Institute of Thermal Technology,Russian Federation,Europe,0.0
I4210109156,Max Planck Institute for Astronomy,Germany,Europe,0.0
I4210108985,Bellevue Hospital Center,United States,Americas,0.0
I4210108711,University Medical Center Hamburg-Eppendorf,Germany,Europe,0.0
I4210102542,Heliotrope Technologies (United States),United States,Americas,0.0
I4210101778,Samsung (United States),United States,Americas,0.0
I4210091772,Max Planck Institute for Extraterrestrial Physics,Germany,Europe,0.0
I4210094759,Fujitsu (United States),United States,Americas,0.0
I4210096500,Institute of Atmospheric Sciences and Climate,Italy,Europe,0.0
I4210096112,Rutgers Sexual and Reproductive Health and Rights,Netherlands,Europe,0.0
I4210095732,Visteon (United States),United States,Americas,0.0
I4210095624,Alibaba Group (United States),United States,Americas,0.0
I4210095128,Center for Massive Data Algorithmics,Denmark,Europe,0.0
I4210094970,Energy Research Institute,China,Asia,0.0
I4210094059,Kavli Institute for Particle Astrophysics and Cosmology,United States,Americas,0.0
I4210097295,Vital Research,United States,Americas,0.0
I4210093996,Dolby (United States),United States,Americas,0.0
I4210093282,Institut de Robòtica i Informàtica Industrial,Spain,Europe,0.0
I4210092658,Harvard–MIT Division of Health Sciences and Technology,United States,Americas,0.0
I4210092639,Boeing (Spain),Spain,Europe,0.0
I4210092357,Institute of Mathematics and Computer Science,"Moldova, Republic of",,0.0
I4210091929,Konkuk University Medical Center,"Korea, Republic of",,0.0
I4210097138,CEA Paris-Saclay - Etablissement de Fontenay-aux-roses,France,Europe,0.0
I4210098034,Key Laboratory of Guangdong Province,China,Asia,0.0
I4210101743,"Laboratoire d'Informatique, de Robotique et de Microélectronique de Montpellier",France,Europe,0.0
I4210100283,"Laboratoire des Sciences de l'Ingénieur, de l'Informatique et de l'Imagerie",France,Europe,0.0
I4210101598,Slovak Hydrometeorological Institute,Slovakia,Europe,0.0
I4210101455,CEA DAM Île-de-France,France,Europe,0.0
I4210101327,Twin Cities Orthopedics,United States,Americas,0.0
I4210100869,Universitätsklinikum Tulln,Austria,Europe,0.0
I4210100430,Google (Switzerland),Switzerland,Europe,0.0
I4210100400,Northwestern University,Philippines,Asia,0.0
I4210099988,Telefonica (Germany),Germany,Europe,0.0
I4210098141,Nokia (United Kingdom),United Kingdom,Europe,0.0
I4210099974,Intelligent Light (United States),United States,Americas,0.0
I4210099593,Computer Algorithms for Medicine,Austria,Europe,0.0
I4210099236,Kootenay Association for Science & Technology,Canada,Americas,0.0
I4210098931,Quantitative BioSciences,United States,Americas,0.0
I4210098902,Laboratoire de Chimie Théorique,France,Europe,0.0
I4210098606,Austrian Foundry Research Institute,Austria,Europe,0.0
I4210150884,Fondation Sophia Antipolis,France,Europe,0.0
I4210151080,Hochschule Magdeburg-Stendal,Germany,Europe,0.0
I4210151352,Biocom,United States,Americas,0.0
I59553526,Stony Brook University,United States,Americas,0.0
I76571253,Imam Abdulrahman Bin Faisal University,Saudi Arabia,Asia,0.0
I76569877,Southeast University,China,Asia,0.0
I76198965,Friedrich Schiller University Jena,Germany,Europe,0.0
I76134821,Medical University of Vienna,Austria,Europe,0.0
I76130692,Zhejiang University,China,Asia,0.0
I75059550,Zhejiang Gongshang University,China,Asia,0.0
I75027704,University of Tennessee at Knoxville,United States,Americas,0.0
I74973139,Carnegie Mellon University,United States,Americas,0.0
I74801974,The University of Tokyo,Japan,Asia,0.0
I74788687,Comenius University Bratislava,Slovakia,Europe,0.0
I74786994,Kitware (United States),United States,Americas,0.0
I74775410,Rice University,United States,Americas,0.0
I74760111,Texas Instruments (United States),United States,Americas,0.0
I74753095,Ontario College of Art and Design,Canada,Americas,0.0
I74656192,University of Göttingen,Germany,Europe,0.0
I76835614,University of Missouri,United States,Americas,0.0
I78577930,Columbia University,United States,Americas,0.0
I78650965,TU Dresden,Germany,Europe,0.0
I8087733,University of Tübingen,Germany,Europe,0.0
I83019370,Eindhoven University of Technology,Netherlands,Europe,0.0
I82514191,Honeywell (United States),United States,Americas,0.0
I82495205,University of Alabama in Huntsville,United States,Americas,0.0
I8204097,Ludwig-Maximilians-Universität München,Germany,Europe,0.0
I81365321,Old Dominion University,United States,Americas,0.0
I81020160,Louisiana State University Health Sciences Center Shreveport,United States,Americas,0.0
I8078737,Clemson University,United States,Americas,0.0
I7882870,University of Glasgow,United Kingdom,Europe,0.0
I80605987,NOAA Earth System Research Laboratory,United States,Americas,0.0
I80143920,Shandong University of Science and Technology,China,Asia,0.0
I79891267,Singapore Management University,Singapore,Asia,0.0
I79576946,University of Pennsylvania,United States,Americas,0.0
I79510175,Cardiff University,United Kingdom,Europe,0.0
I79272384,"University of Maryland, Baltimore County",United States,Americas,0.0
I72951846,Washington State University,United States,Americas,0.0
I72816309,Drexel University,United States,Americas,0.0
I72090969,Nokia (United States),United States,Americas,0.0
I62916508,Technical University of Munich,Germany,Europe,0.0
I66906201,University of Yamanashi,Japan,Asia,0.0
I66867065,East China Normal University,China,Asia,0.0
I66862912,Chalmers University of Technology,Sweden,Europe,0.0
I65837984,Kobe University,Japan,Asia,0.0
I63966007,Massachusetts Institute of Technology,United States,Americas,0.0
I63533367,General Atomics (United States),United States,Americas,0.0
I62318514,University of Duisburg-Essen,Germany,Europe,0.0
I66946132,"University of Maryland, College Park",United States,Americas,0.0
I61937129,Jackson State University,United States,Americas,0.0
I61057504,Fujian Agriculture and Forestry University,China,Asia,0.0
I60922564,Naver (South Korea),"Korea, Republic of",,0.0
I6059380,University of Baltimore,United States,Americas,0.0
I60488453,Middlesex University,United Kingdom,Europe,0.0
I60200437,Potsdam Institute for Climate Impact Research,Germany,Europe,0.0
I66943878,De Montfort University,United Kingdom,Europe,0.0
I67031392,Carleton University,Canada,Americas,0.0
I71966907,University of Northern Colorado,United States,Americas,0.0
I69722833,MAYA Design (United States),United States,Americas,0.0
I71920554,King Abdullah University of Science and Technology,Saudi Arabia,Asia,0.0
I71838634,San Francisco State University,United States,Americas,0.0
I71824836,Swiss Federal Laboratories for Materials Science and Technology,Switzerland,Europe,0.0
I71270174,Victoria University,Australia,Oceania,0.0
I70983195,Syracuse University,United States,Americas,0.0
I70768539,École Nationale Supérieure des Mines de Paris,France,Europe,0.0
I69356397,Xi’an Jiaotong-Liverpool University,China,Asia,0.0
I67311998,European Organization for Nuclear Research,Switzerland,Europe,0.0
I69048370,Renaissance Computing Institute,United States,Americas,0.0
I68956291,Martin Luther University Halle-Wittenberg,Germany,Europe,0.0
I68947357,Université de Strasbourg,France,Europe,0.0
I68891433,Indian Institute of Technology Delhi,India,Asia,0.0
I67900169,Chung-Ang University,"Korea, Republic of",,0.0
I67415387,Lancaster University,United Kingdom,Europe,0.0
I83436808,Hankuk University of Foreign Studies,"Korea, Republic of",,0.0
I83816512,University of Genoa,Italy,Europe,0.0
I84218800,"University of California, Davis",United States,Americas,0.0
I92528248,Qatar Foundation,Qatar,Asia,0.0
I94509681,Technische Universität Braunschweig,Germany,Europe,0.0
I94328231,University of Rio Grande and Rio Grande Community College,United States,Americas,0.0
I94234084,Indian Institute of Technology Kanpur,India,Asia,0.0
I93860229,Politecnico di Milano,Italy,Europe,0.0
I93085520,Silicon Labs (United States),United States,Americas,0.0
I926574661,Leipzig University,Germany,Europe,0.0
I92446798,Colorado State University,United States,Americas,0.0
I94626330,University of Bamberg,Germany,Europe,0.0
I921990950,University of Colorado Denver,United States,Americas,0.0
I91807558,National Cheng Kung University,"Taiwan, Province of China",,0.0
I91712215,Saarland University,Germany,Europe,0.0
I9146737,University of South Carolina Lancaster,United States,Americas,0.0
I91203450,University of Haifa,Israel,Asia,0.0
I91136226,University of Sheffield,United Kingdom,Europe,0.0
I94624287,University of Twente,Netherlands,Europe,0.0
I94722563,University of Jyväskylä,Finland,Europe,0.0
I90965887,SUNY Polytechnic Institute,United States,Americas,0.0
I98251732,McMaster University,Canada,Americas,0.0
I99065089,Tsinghua University,China,Asia,0.0
I99043593,Macquarie University,Australia,Oceania,0.0
I99041443,Mississippi State University,United States,Americas,0.0
I98677209,University of Edinburgh,United Kingdom,Europe,0.0
I98381234,University of Oulu,Finland,Europe,0.0
I98358874,Delft University of Technology,Netherlands,Europe,0.0
I97750245,Software (Spain),Spain,Europe,0.0
I95457486,"University of California, Berkeley",United States,Americas,0.0
I97429440,University of Wales,United Kingdom,Europe,0.0
I9736820,École de Technologie Supérieure,Canada,Americas,0.0
I97018004,Stanford University,United States,Americas,0.0
I9617848,Universitat Politècnica de Catalunya,Spain,Europe,0.0
I95793202,Otto-von-Guericke University Magdeburg,Germany,Europe,0.0
I95674353,UCLouvain,Belgium,Europe,0.0
I91045830,Texas A&M University,United States,Americas,0.0
I90727586,Zhejiang University of Finance and Economics,China,Asia,0.0
I84392919,Temple University,United States,Americas,0.0
I86501945,University of Delaware,United States,Americas,0.0
I87097829,University of North Carolina at Asheville,United States,Americas,0.0
I86987016,KTH Royal Institute of Technology,Sweden,Europe,0.0
I8692664,University of Oklahoma,United States,Americas,0.0
I86755215,MedStar Health,United States,Americas,0.0
I865915315,Vrije Universiteit Amsterdam,Netherlands,Europe,0.0
I86519309,The University of Texas at Austin,United States,Americas,0.0
I861853513,Sapienza University of Rome,Italy,Europe,0.0
I87216513,Michigan State University,United States,Americas,0.0
I86122600,Numerical Algorithms Group (United Kingdom),United Kingdom,Europe,0.0
I859038795,Virginia Tech,United States,Americas,0.0
I85384741,Heidelberg University,United States,Americas,0.0
I84884186,Newcastle University,United Kingdom,Europe,0.0
I848706,Sungkyunkwan University,"Korea, Republic of",,0.0
I84653119,Academia Sinica,"Taiwan, Province of China",,0.0
I87182695,Universidad del Noreste,Mexico,Americas,0.0
I87303767,U.S. Army Engineer Research and Development Center,United States,Americas,0.0
I90183372,Université de Lorraine,France,Europe,0.0
I889458895,University of Hong Kong,Hong Kong,Asia,0.0
I901403493,NuVasive (United States),United States,Americas,0.0
I901242617,Zimmer Biomet (Switzerland),Switzerland,Europe,0.0
I899635006,Université Grenoble Alpes,France,Europe,0.0
I89864525,Universität Trier,Germany,Europe,0.0
I897549280,Hologic (Germany),Germany,Europe,0.0
I889804353,Robert Bosch (Germany),Germany,Europe,0.0
I888729015,University of Colorado Colorado Springs,United States,Americas,0.0
I87354575,National Chengchi University,"Taiwan, Province of China",,0.0
I887968799,RWTH Aachen University,Germany,Europe,0.0
I88773910,Intuit (United States),United States,Americas,0.0
I887064364,University of Amsterdam,Netherlands,Europe,0.0
I88101031,Immersion (United States),United States,Americas,0.0
I880747138,Science Applications International Corporation (United States),United States,Americas,0.0
I87445476,Xi'an Jiaotong University,China,Asia,0.0
I59857034,John Cabot University,Italy,Europe,0.0
I59433898,Brunel University of London,United Kingdom,Europe,0.0
I4210151375,Applied Visions (United States),United States,Americas,0.0
I59270414,Indian Institute of Science Bangalore,India,Asia,0.0
I4210163870,United States Army Research Office,United States,Americas,0.0
I4210163771,Tableau Software (United States),United States,Americas,0.0
I4210163586,Musée de l'Homme,France,Europe,0.0
I4210163460,Midwest Orthopaedic Research Foundation,United States,Americas,0.0
I4210163178,Alfred Health,Australia,Oceania,0.0
I4210162505,Philips (Germany),Germany,Europe,0.0
I4210162323,TKL Research,United States,Americas,0.0
I4210162195,Rhythm (United states),United States,Americas,0.0
I4210161853,Budapest Institute,Hungary,Europe,0.0
I4210161785,First Technical University,Nigeria,Africa,0.0
I4210161634,Microsoft (France),France,Europe,0.0
I4210161630,Wavefront Research (United States),United States,Americas,0.0
I4210160939,Oculus Innovative Sciences (United States),United States,Americas,0.0
I4210160618,Huawei Technologies (United Kingdom),United Kingdom,Europe,0.0
I4210160608,Asklepios,Germany,Europe,0.0
I4210164234,Microcom (United States),United States,Americas,0.0
I4210164339,Oldham Council,United Kingdom,Europe,0.0
I4210164736,Cajal Neuroscience (United States),United States,Americas,0.0
I4210167018,Interaction Design (United Kingdom),United Kingdom,Europe,0.0
I43522216,"California State University, Sacramento",United States,Americas,0.0
I43439940,University of Southampton,United Kingdom,Europe,0.0
I42894916,Data61,Australia,Oceania,0.0
I4210167330,Biographics (United States),United States,Americas,0.0
I4210167297,IBM Research - Haifa,Israel,Asia,0.0
I4210167249,Network Technologies (United States),United States,Americas,0.0
I4210166784,École Nationale Supérieure des Arts Décoratifs,France,Europe,0.0
I4210164937,Microsoft Research (United Kingdom),United Kingdom,Europe,0.0
I4210166048,Gesellschaft Fur Mathematik Und Datenverarbeitung,Germany,Europe,0.0
I4210165912,Laboratoire Traitement et Communication de l’Information,France,Europe,0.0
I4210165734,National Supercomputing Center of Tianjin,China,Asia,0.0
I4210165038,University of Chinese Academy of Sciences,China,Asia,0.0
